Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Category,Description,ComponentLabel
M11,GY,Residual,52.56297873526638,6961.344779352445,68.08335599899291,137512792.9247543,3.8224064552327395e-7,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Residual
M11,GY,W,1.458730172206572,6961.344779352445,68.08335599899291,137512792.9247543,1.0607959748187031e-8,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Weather kernel (W)
M11,KW,E,292.49605241049284,5273.695471001227,118.26029288768768,38359061.05377937,7.625214079156255e-6,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Environment (E)
M11,KW,P,38358612.064337105,5273.695471001227,118.26029288768768,38359061.05377937,0.9999882950877854,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Phenomic linear (P)
M11,KW,PE,31.740786170485194,5273.695471001227,118.26029288768768,38359061.05377937,8.274651490031166e-7,M11,Eta11,Weather-augmented,E + W + P + PE + PW,P × E
M11,KW,PW,115.15352706031155,5273.695471001227,118.26029288768768,38359061.05377937,3.0019902442050497e-6,M11,Eta11,Weather-augmented,E + W + P + PE + PW,P × W
M11,KW,Residual,9.191286304889786,5273.695471001227,118.26029288768768,38359061.05377937,2.396118688099172e-7,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Residual
M11,KW,W,0.4077903208034232,5273.695471001227,118.26029288768768,38359061.05377937,1.0630873373873817e-8,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Weather kernel (W)
M12,GY,E,1191.8382013829917,6810.903925404958,133.5450911283493,42319.811868065735,0.02816265358406154,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Environment (E)
M12,GY,G,164.87896561748764,6810.903925404958,133.5450911283493,42319.811868065735,0.0038960231234369987,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Genomic linear (G)
M12,GY,GE,14.459669288285847,6810.903925404958,133.5450911283493,42319.811868065735,3.416761240188079e-4,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,G × E
M12,GY,GW,42.696167535357525,6810.903925404958,133.5450911283493,42319.811868065735,0.0010088931318613867,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,G × W
M12,GY,P,40523.0875665271,6810.903925404958,133.5450911283493,42319.811868065735,0.9575441330613658,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Phenomic linear (P)
M12,GY,PE,87.94867361393682,6810.903925404958,133.5450911283493,42319.811868065735,0.0020781915072808333,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,P × E
M12,GY,PW,253.1256313990147,6810.903925404958,133.5450911283493,42319.811868065735,0.005981256064846114,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,P × W
M12,GY,Residual,40.85493009509344,6810.903925404958,133.5450911283493,42319.811868065735,9.65385437498183e-4,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Residual
M12,GY,W,0.9220626064648105,6810.903925404958,133.5450911283493,42319.811868065735,2.17879656303622e-5,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Weather kernel (W)
M12,KW,E,259.18187750556706,4987.401112362395,218.49655594825745,990463.8185646122,2.6167727952059415e-4,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Environment (E)
M12,KW,G,57.2530490211866,4987.401112362395,218.49655594825745,990463.8185646122,5.780428113382088e-5,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Genomic linear (G)
M12,KW,GE,2.5348647341674644,4987.401112362395,218.49655594825745,990463.8185646122,2.559270401054134e-6,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,G × E
M12,KW,GW,7.598648763929208,4987.401112362395,218.49655594825745,990463.8185646122,7.671808521931906e-6,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,G × W
M12,KW,P,990041.3911039298,4987.401112362395,218.49655594825745,990463.8185646122,0.9995735054095216,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Phenomic linear (P)
M12,KW,PE,22.568051762280053,4987.401112362395,218.49655594825745,990463.8185646122,2.2785336868726662e-5,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,P × E
M12,KW,PW,66.3330267822485,4987.401112362395,218.49655594825745,990463.8185646122,6.69716808821738e-5,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,P × W
